文學院,系所,中文系,文學院學士班,英文系,法文系,哲研所,藝術所,歷史所,學習所
,介紹,"訓詁學、文字學、思想史......聽起來好難哦(;ŏ﹏ŏ)

現代小說、現代散文、文學策展、採訪文學......等課程也是不可勝數的，那些被塵封和落款的經典值得我們認識，但那些縈繞在我們身旁的文學也是我們該學習如何運用和了解的。

中文系帶你們從文學的根了解所有枝椏和新苗們的文學誕生之旅，這是一趟旅程，還請新生們們坐穩了，通往中國文學秘辛的這班車即將出發。","人說好事成雙，文學院學士班系學會也將邁入第二屆了！
歡迎第三屆的新生們，而你們也將要進入魔幻的松果森林，進行為期四年的挑戰。
你們被分類帽所分配到的學院是文學院學士班，而在這裡事先提醒你們會遇到四個領域的關卡，分別是哲學、藝術、歷史以及影像敘事。
哲學試煉考驗著各位挑戰者們的邏輯思考以及論述能力，並悠遊東西方哲學思想。
藝術試煉考驗著各位挑戰者們的藝術評鑑能力，要如何去判讀一張作品，更甚是一位畫家或是流派都是我們會遇到的試驗。
歷史試煉考驗著各位挑戰者們的文本分析能力，一同鑑古窺今。
而影像敘事則考驗著各位挑戰者如何去觀看並分析一部影像。
等不及要加入我們了吧~快一同來迎接接下來的挑戰吧！","英文系學會以本系大學生為主要成員，其設立宗旨為：培養學生自治能力，為本系同學服務，負責辦理本系學生參與的各項活動。本會的會長及副會長由大三擔任，各組長則為大二，活動內容的規畫則是由幹部共同開會商議，再視活動的性質交由最適合主事的幹部負責，各負責人再依照計畫籌備及執行活動。
本會分成活動、體器、美宣以及文書組，各組會攜手舉辦各種活動，歷屆的大型活動為:鬼屋、聖誕晚會、英美週傳情，各組也會主辦一些小型活動。參加系學會可以藉著辦活動認識同屆的朋友以及各級學長姐們，除了讓系上的氣氛更為融洽之外，也能夠凝聚系上的情感。",國立中央大學法文系創立於1981年，是我國唯一設在國立大學的法文系，今年適逢本系40周年，創系以來延攬法國文學、語言學、電影、藝術、政治、文化等各領域師資，教學與研究陣容堅強，以培育學生之人文素養為重，教育目標著重語言能力、自學能力、國際視野、多元文化觀、審美欣賞、創意思考、邏輯批判等七大核心能力之培育。小班制教學有助於快速提升語言能力，啟發學生邏輯思維及批判精神，並激發其創意、審美及國際觀。學生未來不論進修或就業，都能與時並進，具有更寬廣的發展空間、更開闊的宏觀視野。,本所以三方面的哲學發展為主軸，即中國哲學之現代詮釋，西方當代哲學發展，和應用哲學與應用倫理學之研究，冀能為中國哲學之國際化和多元化，作出貢獻。,中央大學藝術學研究所成立於1993年，為國內第一所兼重近現代東西方藝術史的碩士班。歷年來，本所致力培育具備藝術史學養的年輕學者，以及多方位的藝文工作專業人才。座落在恬靜的文學院環境中，本所與文學、哲學、歷史、師資培育等系所相輔相成，並且和藝文中心密切合作。,歷史研究所碩士班於1993年正式招生，旨在培訓研究生從事明清以來的中國史以及臺灣史等的研究。學生除需研讀大量中文資料外，對重要西文名著亦需涉獵。因此本所鼓勵學生修習外國語文（如日文、英文、法文等），充實語文能力，以擴大研究之能力與基礎。,本所願景為全人、 創新與卓越。研究目標為應用新科技與研究方法，檢視學習者的學習狀況及歷程、發展與修正學習理論、創新教學應用。
,連結,https://m.facebook.com/chinese.ncu/,www.facebook.com/groups/ncuipla2020/,https://www.instagram.com/eng_ncu/?igshid=YmMyMTA2M2Y=,,,,,
,,,,,,,,,
理學院,系所,理學院學士班,物理系,數學系,化學系,光電系,統研所,天文所,
,介紹,我們系學會主要是在舉辦系上的各種活動，我們辦的活動蠻多元的，主要每年都會辦的有聖誕晚會、小理盃、系烤、送舊，如果系學會成員有任何想辦的活動我們也會舉辦。有些活動我們會跟其他系一起舉辦，跟別系舉辦活動除了能夠讓活動更有趣之外，還能讓我們系上的同學能夠認識更多其他系的同學。,"前兩學年以實驗物理為核心，學習項目的規劃及執行，其扎實的課程，為本科發展打下基礎。
活動方面，由凝聚系上的物理之夜拉開帷幕，銜接著年底舉辦的物客聖誕晚會，以及發表各自實驗成果的物理小年會，為三大主軸。","中央數學系分成兩個組:數學科學組和計算與資料科學組，位於鴻經館一至四樓，設有電腦室及圖書館，大一必修為微積分、線性代數、基礎數學、基礎程式設計，計算與資料科學組比數學科學組多一門科學計算導論。
為了增進同學之間的交流，系學會舉辦多項娛樂性質活動，如數運會、卡K、傳情等活動，運動方面的系隊如系排、系籃、系羽等。",大家好我們是化學系，在這裡可以認識很多不一樣的人，還有很多活動，歡迎你們加入化學這個大家庭!,"中央光電目的在於培養跨越物理、電機與材料，結合光學與電學之研究人才。
部長帶領部員們規劃活動、系隊、推展學術風氣、師生情誼、培養向心力。
成為一位不只會參加活動也會統籌活動，在學術方面也有所作為的大學生。",本所在教學上致力於相關統計理論及軟硬體工具等應用，使本所學生能將所學應用在各個領域方面。統計學術研究上，為提升研究領域之廣度及深度，本所目前除了和財金、生醫及數學等系所合作之外，同時也結合國內多所醫療機構、藥廠進行跨領域的研究。,本所課程為國內天文所中最完備，質與量遠超過國內其它相關系所。除教學外，本所同仁非常積極參與各項大型天文研究計劃，例如「BATC 多色巡天觀測」、「中美掩星計畫」、「泛星計畫」、「ALMA」等。且在過去數年，建設鹿林天文台並且擁有國內最大的一米光學望遠鏡。,
,連結,,,https://instagram.com/ncu_math_2021?igshid=YmMyMTA2M2Y=,https://www.facebook.com/groups/1436010086615452,,,,
,,,,,,,,,
工學院,系所,工學院學士班,化材系,土木系,機械系,能源所,環工所,材料所,
,介紹,"在這裡，你有多種選擇，可以在上過一兩次課後選出你覺得適合自己的方向，我們人數不多，但我們系上資源不會少，還有一群有時會工作到晚上的認真系辦，只要你保持熱情與努力一定不輸給其他系。
系上活動壓力不大，在顧全功課的同時也能享受系上的大小活動，因此希望大家可以多多參與系學會和系隊，這不但能讓你更認識同學和學長姐，還能讓你的大學生活不再像高中一樣只有讀書，只要你願意參與一定能帶回不少回憶。
工院雖小，五臟俱全",整年活動有運動會、卡K之夜、經濟系合辦聯誼舞會、資管系合辦密室逃脫、制服日、美食王、傳情周豐富有趣的活動等著你們喔!系內雖然分為材料及化工兩部分，但多元學習讓我們更了解自己喜歡什麼，課業雖不輕鬆但充滿著活力的你絕對能玩多多，學多多!,剛上大學的各位，如果想要為新的學期增添點色彩，那你可以把參加系學會列入心中的候選名單。如果擔心課業，那你大可放心，因為系學會的活動不會占用你很多的時間；如果害怕與人交流，那也可安心，學長姐並不會惡言相向，而且各個都很好相處。我們有主辦活動的活動部、負責攝影的公關部、製作道具的美宣布、設計系刊的學資部和協助活動的體育部，你可以挑選與自己興趣相投的部門參加，不只能認識知心的朋友，也能快速熟悉陌生的大學生活，這是一個CP值相當高的一個選擇，如果你有興趣，我們隨時歡迎你的加入！,"⚙NCUME⚙
歡迎大家加入中央機械
有任何問題歡迎私訊FB IG粉專
🔧FB：中央機械系學會
🪛IG ：ncu_me",能源工程乃一跨領域的學門，故我們教育學程之設計涵蓋紮實傳統領域知識以及先進的整合課程，使學生能瞭解寬廣具系統整合特性之能源問題。我們以學術研究達國際一流水準為長程目標，結合實際應用以開展產官學研之合作，期能培育優秀之人才並使之能服務於社會為宗旨。,本所長期發展有五個主軸，涵蓋永續環境科技、永續環境管理、環境資源循環、生質能源開發、及工業安全衛生；研究重點包括高級物化生物處理技術、奈米環境技術、氣膠特性監測、生命週期評估、及新興污染物檢測等,本所長程發展目標是建立一個具有世界級水準的能源材料研究與教學機構，短期目標則在致力發展再生能源與氫能相關材料。結合本校奈米、觸媒、能源、環境等領域研究，以再生能源科技為核心，結合上游產氫相關材料與太陽能光電產業，下游包含燃料電池、二次電池與超高電容等相關材料等研究。,
,連結,https://www.facebook.com/NCUIPE.SA,https://www.instagram.com/ncu_cme/,https://www.facebook.com/NCUCE.TW/,,,,,
